params,mean_test_accuracy,mean_test_recall,mean_test_precision,mean_test_f1
"{'C': 0.6000000000000001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
"{'C': 0.6000000000000001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7711111111111112,0.7367948717948718,0.7499582716381747
"{'C': 0.6000000000000001, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag'}",0.8200000000000001,0.7888888888888889,0.8261904761904763,0.8032562466772994
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.76,0.7711111111111111,0.744017094017094,0.7534876834028805
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8100000000000002,0.7688888888888888,0.8261904761904763,0.7915603402445508
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8100000000000002,0.7688888888888888,0.8261904761904763,0.7915603402445508
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7711111111111112,0.7367948717948718,0.7499582716381747
"{'C': 0.8, 'max_iter': 100, 'penalty': 'l2', 'solver': 'sag'}",0.8100000000000002,0.7688888888888888,0.8261904761904763,0.7915603402445508
"{'C': 0.8, 'max_iter': 500, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
"{'C': 0.8, 'max_iter': 500, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
"{'C': 0.8, 'max_iter': 500, 'penalty': 'l1', 'solver': 'liblinear'}",0.76,0.7711111111111111,0.744017094017094,0.7534876834028805
"{'C': 0.8, 'max_iter': 500, 'penalty': 'l1', 'solver': 'sag'}",,,,
"{'C': 0.8, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg'}",0.8100000000000002,0.7688888888888888,0.8261904761904763,0.7915603402445508
"{'C': 0.8, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8100000000000002,0.7688888888888888,0.8261904761904763,0.7915603402445508
"{'C': 0.8, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.76,0.7711111111111112,0.7367948717948718,0.7499582716381747
